Title,Citation Count,URL,Author
"Sex determination and sex differentiation in fish: an overview of genetic, physiological, and environmental influences",Cite,,
Sex bias in work settings: The lack of fit model.,Cite,,
[HTML][HTML] Sex determination: why so many ways of doing it?,Cite,,
"[BOOK][B] Male, female: The evolution of human sex differences.",Cite,,
Sex in public,Cite,,
Language and sex: Difference and dominance.,Cite,,
What do we know about causes of sex differences in mortality? A review of the literature,Cite,,
"[BOOK][B] Sex for sale: Prostitution, pornography, and the sex industry",Cite,,
Sex‐Role Stereotypes: A Current Appraisal1,Cite,,
Emergence and characterization of sex differences in spatial ability: A meta-analysis,Cite,,
Why sex matters for neuroscience,Cite,,
"[BOOK][B] Measuring sex stereotypes: A multination study, Rev",Cite,,
[HTML][HTML] Impact of sex and gender on COVID-19 outcomes in Europe,Cite,,
Sex and gender,Cite,,
No strings attached: The nature of casual sex in college students,Cite,,
Sex allocation,Cite,,
"Is there a gender difference in strength of sex drive? Theoretical views, conceptual distinctions, and a review of relevant evidence",Cite,,
Bem sex role inventory,Cite,,
"Oral versus vaginal sex among adolescents: Perceptions, attitudes, and behavior",Cite,,
Sex differences in same-sex friendship,Cite,,
3 Sex differentiation,Cite,,
[BOOK][B] Revolving doors: Sex segregation and women's careers.,Cite,,
A social learning view of sex differences in behavior.,Cite,,
[BOOK][B] Evolution of sex determining mechanisms.,Cite,,
Sex stereotypes and implicit personality theory: Toward a cognitive—Social psychological conceptualization,Cite,,
[BOOK][B] Sex offending against children: Understanding the risk,Cite,,
Same-and cross-sex friendships and the psychology of homosociality,Cite,,
The role of sex and family variables in burnout,Cite,,
[HTML][HTML] Sex differences in pharmacokinetics predict adverse drug reactions in women,Cite,,
[BOOK][B] Sex differences in social behavior: A social-role interpretation,Cite,,
"Sex, gender, and pain: a review of recent clinical and experimental findings",Cite,,
Sex-role stereotypes and clinical judgments of mental health.,Cite,,
Sex differences in perceptions of desirable body shape.,Cite,,
"Sex differences in physical, verbal, and indirect aggression: A review of recent research",Cite,,
The impact of sex on gene expression across human tissues,Cite,,
An examination of sex differences in social support among older men and women,Cite,,
[HTML][HTML] Long-term follow-up of transsexual persons undergoing sex reassignment surgery: cohort study in Sweden,Cite,,
The national report on domestic minor sex trafficking: America's prostituted children,Cite,,
"Sex differences in illness incidence, prognosis and mortality: issues and evidence",Cite,,
Sex typing and the avoidance of cross-sex behavior.,Cite,,
"[HTML][HTML] Sex hormones, immune responses, and autoimmune diseases. Mechanisms of sex hormone action.",Cite,,
Sex-hormone-binding globulin,Cite,,
"Sex chromosome abnormalities found among 34,910 newborn children: results from a 13-year incidence study in Arhus, Denmark.",Cite,,
A DNA test to sex most birds,Cite,,
Attachment style in sex offenders: A preliminary study,Cite,,
[BOOK][B] Sex differences in cognitive abilities,Cite,,
Sex differences in posttraumatic stress disorder,Cite,,
[HTML][HTML] Sex differences in immune responses,Cite,,
[BOOK][B] How sex changed: A history of transsexuality in the United States,Cite,,
"[CITATION][C] The Theory of Sex Allocation.(MPB-18), Volume 18",Cite,,
Sex determination in reptiles,Cite,,
Causes and implications of the recent increase in the reported sex ratio at birth in China,Cite,,
Sex differences in nonalcoholic fatty liver disease: state of the art and identification of research gaps,Cite,,
The development of sex differences.,Cite,,
Sex itself,Cite,,
Toward a redefinition of sex and gender.,Cite,,
[HTML][HTML] Considering how biological sex impacts immune responses and COVID-19 outcomes,Cite,,
[BOOK][B] The endangered sex: neglect of female children in rural north India.,Cite,,
Sex-role orientation and psychological well-being: Two meta-analyses,Cite,,
[HTML][HTML] Tree of sex: a database of sexual systems,Cite,,
[BOOK][B] Making sex: Body and gender from the Greeks to Freud,Cite,,
"Violence, condom negotiation, and HIV/STI risk among sex workers",Cite,,
"Sex‐ratios, sex‐role spillover, and sexual harassment of women at work",Cite,,
Gender schema theory: A cognitive account of sex typing.,Cite,,
Abstinence-only and comprehensive sex education and the initiation of sexual activity and teen pregnancy,Cite,,
Sex differences in empathy and related capacities.,Cite,,
[BOOK][B] Sex and temperament in three primitive societies,Cite,,
"The development of sex role stereotypes in the third year: Relationships to gender labeling, gender identity, sex-types toy preference, and family characteristics",Cite,,
Age and sex composition: 2010,Cite,,
Magnitude of sex differences in spatial abilities: a meta-analysis and consideration of critical variables.,Cite,,
The origins of sex differences in human behavior: Evolved dispositions versus social roles.,Cite,,
[HTML][HTML] Adolescents' exposure to a sexualized media environment and their notions of women as sex objects,Cite,,
The avian Z-linked gene DMRT1 is required for male sex determination in the chicken,Cite,,
Sex and age specific prediction formulas for estimating body composition from bioelectrical impedance: a cross-validation study.,Cite,,
[BOOK][B] Sex and psyche: Gender and self viewed cross-culturally.,Cite,,
When is sex environmentally determined?,Cite,,
"Evolving knowledge of sex differences in brain structure, function, and chemistry",Cite,,
Close friendship in adulthood: Conversational content between same-sex friends.,Cite,,
Sex chromosomes and the evolution of sexual dimorphism,Cite,,
"Minireview: sex differences in adult and developing brains: compensation, compensation, compensation",Cite,,
The whole woman: Sex and gender differences in variation,Cite,,
[PDF][PDF] Sex ratio and unisexual sterility in hybrid animals,Cite,,
Sex on the Internet: Observations and implications for Internet sex addiction,Cite,,
"How useful is body mass index for comparison of body fatness across age, sex, and ethnic groups?",Cite,,
"Transactional sex among women in Soweto, South Africa: prevalence, risk factors and association with HIV infection",Cite,,
Sex differences in coping behavior: A meta-analytic review and an examination of relative coping,Cite,,
"Sex differences in jealousy: Evolution, physiology, and psychology",Cite,,
[HTML][HTML] Sex differences in severity and mortality from COVID-19: are males more vulnerable?,Cite,,
"Sex, beach boys, and female tourists in the Caribbean",Cite,,
Sex differences in pain,Cite,,
[BOOK][B] Sex and reason,Cite,,
Sex differences in depression: The effects of occupation and marital status,Cite,,
[BOOK][B] What's love got to do with it?: Transnational desires and sex tourism in the Dominican Republic,Cite,,
Sex differences in type of extramarital involvement and marital dissatisfaction,Cite,,
The effect of sex and gender-schematic processing on sport participation,Cite,,
[BOOK][B] Bodies that matter: On the discursive limits of sex,Cite,,
Determining the sex of human remains through cranial morphology.,Cite,,
"Sex differences in the nature, realism, and correlates of body image",Cite,,
[BOOK][B] Relapse prevention with sex offenders.,Cite,,
Sex differences in psychiatric disorders: origins and developmental influences.,Cite,,
